Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
Adenine (HMDB0000034),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurocholic acid (HMDB0000036),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihydrobiopterin (HMDB0000038),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Bilirubin (HMDB0000054),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Alanine (HMDB0000056),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Carnitine (HMDB0000062),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cholesterol (HMDB0000067),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pipecolic acid (HMDB0000070),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyinosine (HMDB0000071),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyguanosine (HMDB0000085),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cytidine (HMDB0000089),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citric acid (HMDB0000094),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Xylose (HMDB0000098),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Aminobutyric acid (HMDB0000112),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycolic acid (HMDB0000115),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Glucose (HMDB0000122),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol 3-phosphate (HMDB0000126),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol (HMDB0000131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Guanine (HMDB0000132),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Guanosine (HMDB0000133),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Fumaric acid (HMDB0000134),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycocholic acid (HMDB0000138),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glyceric acid (HMDB0000139),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Galactose (HMDB0000143),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ethanolamine (HMDB0000149),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Gentisic acid (HMDB0000152),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Malic acid (HMDB0000156),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hypoxanthine (HMDB0000157),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tyrosine (HMDB0000158),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Phenylalanine (HMDB0000159),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Maltose (HMDB0000163),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Mannose (HMDB0000169),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Isoleucine (HMDB0000172),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Fucose (HMDB0000174),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Histidine (HMDB0000177),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lysine (HMDB0000182),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lactic acid (HMDB0000190),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Inosine (HMDB0000195),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Indoleacetic acid (HMDB0000197),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N6-Acetyl-L-lysine (HMDB0000206),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleic acid (HMDB0000207),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oxoglutaric acid (HMDB0000208),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylacetic acid (HMDB0000209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pantothenic acid (HMDB0000210),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
myo-Inositol (HMDB0000211),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylgalactosamine (HMDB0000212),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
myo-Inositol 1-phosphate (HMDB0000213),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyl-D-glucosamine (HMDB0000215),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitic acid (HMDB0000220),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Orotic acid (HMDB0000226),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylneuraminic acid (HMDB0000230),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Riboflavin (HMDB0000244),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurine (HMDB0000251),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphingosine (HMDB0000252),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Succinic acid (HMDB0000254),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Squalene (HMDB0000256),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sucrose (HMDB0000258),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serotonin (HMDB0000259),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thymine (HMDB0000262),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyroglutamic acid (HMDB0000267),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphinganine (HMDB0000269),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thymidine (HMDB0000273),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Ribose (HMDB0000283),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uric acid (HMDB0000289),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Xanthine (HMDB0000292),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uridine (HMDB0000296),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uracil (HMDB0000300),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Urocanic acid (HMDB0000301),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptamine (HMDB0000303),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyramine (HMDB0000306),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxy-3-methylpentanoic acid (HMDB0000317),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyadipic acid (HMDB0000321),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxysuberic acid (HMDB0000325),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxybutyric acid (HMDB0000011),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Epiandrosterone (HMDB0000365),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-(3-Hydroxyphenyl)propanoic acid (HMDB0000375),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Ketodeoxycholic acid (HMDB0000391),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3,7-Dihydroxy-12-oxocholanoic acid (HMDB0000400)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxy-3-methylbutyric acid (HMDB0000407),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3a,6b,7b-Trihydroxy-5b-cholanoic acid (HMDB0000415)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3D,7D,11D-Phytanic acid (HMDB0000417)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3,4-Dihydroxyhydrocinnamic acid (HMDB0000423)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyphenylacetic acid (HMDB0000440),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-alpha-Acetyl-L-lysine (HMDB0000446),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adipic acid (HMDB0000448),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
cis-4-Hydroxycyclohexylacetic acid (HMDB0000451),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methylindole (HMDB0000466),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nutriacholic acid (HMDB0000467),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caprylic acid (HMDB0000482),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methyl-2-oxovaleric acid (HMDB0000491),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stigmastanol (HMDB0000494),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Oxocholic acid (HMDB0000502),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ribitol (HMDB0000508),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Capric acid (HMDB0000511),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyl-L-phenylalanine (HMDB0000512),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Arginine (HMDB0000517),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Hydroxyhexanoic acid (HMDB0000525),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arabinonic acid (HMDB0000539),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3L,7D,11D-Phytanic acid (HMDB0000553)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alloisoleucine (HMDB0000557),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Cysteine (HMDB0000574),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5beta-Coprostanol (HMDB0000577),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylphenylalanine (HMDB0000594),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Erythronic acid (HMDB0000613),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cholic acid (HMDB0000619),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Ribulose (HMDB0000621),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dodecanedioic acid (HMDB0000623),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Gluconic acid (HMDB0000625),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxycholic acid (HMDB0000626),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxycholic acid glycine conjugate (HMDB0000631),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Chenodeoxycholic acid glycine conjugate (HMDB0000637),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dodecanoic acid (HMDB0000638),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamine (HMDB0000641),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-alpha-Aminobutyric acid (HMDB0000650),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Fructose (HMDB0000660),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutaric acid (HMDB0000661),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Heptanoic acid (HMDB0000666),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Indolelactic acid (HMDB0000671),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hexadecanedioic acid (HMDB0000672),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Linoleic acid (HMDB0000673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isocaproic acid (HMDB0000689),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Malonic acid (HMDB0000691),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ketoleucine (HMDB0000695),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Methionine (HMDB0000696),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxypropionic acid (HMDB0000700),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aspartylphenylalanine (HMDB0000706),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybutyric acid (HMDB0000710),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxyoctanoic acid (HMDB0000711),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isovaleric acid (HMDB0000718),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Homoserine (HMDB0000719),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycylproline (HMDB0000721),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxyproline (HMDB0000725),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Hydroxyisobutyric acid (HMDB0000729),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxyisocaproic acid (HMDB0000746),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Methylglutaric acid (HMDB0000752),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyisovaleric acid (HMDB0000754),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxyphenyllactic acid (HMDB0000755),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycylleucine (HMDB0000759),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lithocholic acid (HMDB0000761),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydrocinnamic acid (HMDB0000764),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyl-L-alanine (HMDB0000766),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pseudouridine (HMDB0000767),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nonadecanoic acid (HMDB0000772),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenyllactic acid (HMDB0000779),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Azelaic acid (HMDB0000784),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sebacic acid (HMDB0000792),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phytanic acid (HMDB0000801),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristic acid (HMDB0000806),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Butyrylglycine (HMDB0000808),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyl-L-aspartic acid (HMDB0000812),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pentadecanoic acid (HMDB0000826),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearic acid (HMDB0000827),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pelargonic acid (HMDB0000847),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Rhamnose (HMDB0000849),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Sitosterol (HMDB0000852),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Formiminoglutamic acid (HMDB0000854),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyl-L-tyrosine (HMDB0000866),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histamine (HMDB0000870),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tauroursodeoxycholic acid (HMDB0000874),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Trigonelline (HMDB0000875),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ribothymidine (HMDB0000884),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Undecanedioic acid (HMDB0000888),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valeric acid (HMDB0000892),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Suberic acid (HMDB0000893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurodeoxycholic acid (HMDB0000896),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citrulline (HMDB0000904),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tryptophan (HMDB0000929),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Behenic acid (HMDB0000944),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurochenodesoxycholic acid (HMDB0000951),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ferulic acid (HMDB0000954),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
DL-2-Aminooctanoic acid (HMDB0000991),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Biliverdin (HMDB0001008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dehydroepiandrosterone sulfate (HMDB0001032),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arachidonic acid (HMDB0001043),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
